,names,classification,redshift,peak_mag,peak_absmag
0,ZTF19acgdxel,SN,0.102,18.890017727533,-19.471095908576217
1,ZTF18abyiusv,Unknown,,18.7410490521362,
2,ZTF19aarhrru,Unknown,,18.6119646432186,
3,ZTF20aabcemq,TDE?,0.096,18.5726712457251,-19.648048348264997
4,ZTF18abslduk,AGN,0.0456,18.2028884970775,-18.32477204454838
5,ZTF19abulzhy,SN,0.1055,18.6028271615794,-19.836617542521296
6,ZTF18aakztwr,AGN,0.0792,18.8567563889008,-18.92133475353188
7,ZTF18acrygry,AGN,0.0837,17.9904081634631,-19.914411987336962
8,ZTF19aayvpbf,Unknown,,18.3555921748769,
9,ZTF19abjmnlw,Unknown,0.137,18.7693569414394,-20.281950645816718
10,ZTF19aawlgne,Unknown,0.030741,18.5986448288034,-17.049137446539753
11,ZTF18aabukgo,SN,0.0261,17.6954404814201,-17.58946393631519
12,ZTF19aarioci,TDE,0.074,18.1227618985924,-19.500033768781584
13,ZTF19ackjsyv,Unknown,,18.9054434128965,
14,ZTF19aakswrb,TDE,0.1206,18.7248152882081,-20.02669131849909
15,ZTF19aaiqmgl,TDE?,0.0296,17.2645831248494,-18.299230916539077
16,ZTF18abanftq,AGN,0.151,18.9968610259103,-20.28489706364848
17,ZTF19abvgxrq,TDE?,0.097,17.6308750562553,-20.613810432376845
18,ZTF18abjhbss,Unknown,,17.3757768775985,
19,ZTF18abgqbsh,Unknown,,18.9470929819017,
20,ZTF18abjjkeo,TDE?,0.103,18.6824969770045,-19.70125294624682
21,ZTF18accjdgs,SN,0.0828,18.4783709549402,-19.401631515355735
22,ZTF19aabbnzo,TDE,0.091,18.7700718624639,-19.327150389739835
23,ZTF20aaetsrw,Unknown,,18.8776972268818,
24,ZTF19aanwmkp,Unknown,,16.9776005239094,
25,ZTF19accczko,Unknown,,18.7424172965061,
26,ZTF19aaejtoy (Lancel),TDE?,0.0356,16.9623701774545,-19.01186022755542
27,ZTF19aafltef,Unknown,0.04798,17.0465542866511,-19.59532318227511
28,ZTF18acxhvzb,Unknown,0.096,18.7356599775624,-19.485059616427698
29,ZTF18abwkxgo,Unknown,,18.9331968627938,
30,ZTF18aaidhnq,AGN,0.0422,18.6584199561244,-17.6956134421107
31,ZTF19aavjfha,Unknown,,18.6943977152842,
32,ZTF18aamsecj,AGN,0.0808,18.942668539218,-18.88125049216521
33,ZTF20aabqihu,TDE,0.068,18.9009252751106,-18.52915117457888
34,ZTF19aaciohh,Unknown,0.09,18.1211817466545,-19.950570197059903
35,ZTF18aaxlzrb,AGN,0.0618,18.7892820997715,-18.423700758098118
36,ZTF19aamjjcx,Unknown,,17.5740264312451,
37,ZTF20aartnkv,SN,0.0695,18.5045391877977,-18.975200362465227
38,ZTF18aabicqe,Unknown,,17.9669639660287,
39,ZTF18acnbgrj,Unknown,0.057,18.8386301731856,-18.191378041484917
40,ZTF19abucujw,Unknown,,18.9220451471246,
41,ZTF18abxftqm,TDE,0.088,18.3697622419699,-19.65023242931943
42,ZTF18aaxzpyh,AGN,0.111,18.721777282594,-19.835936196475604
43,ZTF18acaobxm,AGN,0.116,18.9481868711377,-19.712345214859262
44,ZTF18abafbmh,AGN,0.173,18.7126877092417,-20.893799669836916
45,ZTF18abmrhkl,Unknown,,18.7189656137368,
46,ZTF18abtswjk,Unknown,0.0503,17.3490170655066,-19.399032363350955
47,ZTF18abbuwwg,Unknown,0.044,18.0852601288066,-18.362318085771246
48,ZTF18adbnslo,Unknown,,18.9397665202952,
49,ZTF18acnbpsv,AGN,0.0767,18.6411617085066,-19.063524065371155
50,ZTF18aabxsag,Unknown,0.369,18.2556560816413,-23.22269896471885
51,ZTF18adbdhtn,Unknown,,18.4439339559814,
52,ZTF19aadkzep,Unknown,,18.3246265235844,
53,ZTF19aaueksg,Unknown,,18.8072967023646,
54,ZTF19aapreis (Bran),TDE,0.0512,17.8640645183291,-18.923900961534343
55,ZTF19abqwtfu,SN,0.014353,16.6837705823761,-17.283456282538317
56,ZTF18acnbpmd,Unknown,0.34,18.8503658884855,-22.42019842513387
57,ZTF19aaniqrr,Unknown,0.519,18.7288842247352,-23.629588314073704
58,ZTF18aabeeiz,Unknown,,15.9133964539525,
59,ZTF19aafpyse,Unknown,0.036733,18.9660562881286,-17.078014198633994
60,ZTF19abzrhgq,TDE,0.01499,15.9130695689435,-18.14950106925538
61,ZTF18aaxnovi,AGN,0.188,18.7309588368397,-21.0756196890172
62,ZTF19abclykm (Steffon),TDE?,0.0935,17.6828840562623,-20.476869871085324
63,ZTF19abhendr,Unknown,,18.6198944097923,
64,ZTF18abfhgug,AGN,0.186,16.0774739017757,-23.703298790718943
65,ZTF18aarutmj,Unknown,,18.1395464418703,
66,ZTF19abovsqr,SN (BUT FROM WHERE?),0.0645,17.394530039624,-19.91545276525231
67,ZTF19aafnend,SN,0.1203,18.7349375503902,-20.01073620166958
68,ZTF18aanlzzf,Unknown,0.235,15.0757594748689,-25.27406536592571
69,ZTF18aahvkxq,Unknown,,16.8598661833732,
70,ZTF18aapzqup,Unknown,0.067,14.7918425109613,-22.60453822866888
71,ZTF19aatubsj (Tywin),TDE?,0.2666,18.1873884751161,-22.47384172540972
